FID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
2426_169_1_1,-3.7261058336450623,195387418575.8633,2000.0,8.23,621209324198.7362,10.0,7736002904899.257,12.472203376815628
2426_169_1_2,-3.7166439369105566,197177718399.23114,2000.0,8.23,593438724331.349,10.0,7390171905787.96,11.862186851110676
2426_169_1_3,-3.7385157830027693,195528744966.4294,2000.0,8.23,613149177730.6317,10.0,7635628821539.197,12.225744653352402
2426_169_1_4,-3.803064793767867,193564778252.77438,2000.0,8.23,262957135802.3459,10.0,3274640426646.5044,5.128946789132153
2426_169_1_5,-3.7830129167969853,196123598883.726,2000.0,8.23,320786315597.8726,10.0,3994794946965.674,6.2371919423614415
2426_169_1_6,-3.756996904860461,194474871163.6261,2000.0,8.23,3856143036.076546,10.0,48021065632.382034,0.0765976254226954
2426_169_1_7,-3.7823043020044254,192104744033.08963,2000.0,8.23,480877915414.98804,10.0,5988437078517.074,9.548892769413097
2426_169_1_8,-3.776837688545161,195910846187.68414,2000.0,8.23,260941745195.72598,10.0,3249542497526.673,5.094748961530239
2426_169_1_9,-3.7809816529291758,192162890797.26617,2000.0,8.23,667390248062.0354,10.0,8311100134191.846,13.257219749680633
2426_169_1_10,-3.73162843386228,194407600762.72574,2000.0,8.23,795020246283.5956,10.0,9900493593904.96,15.998277303385883
2426_169_1_11,-3.834991732539031,189813438265.424,2000.0,8.23,66741628620.10609,10.0,831142439062.4084,1.306590402492746
2426_169_1_12,-3.8775707642799024,187916876752.77896,2000.0,8.23,152716043497.56256,10.0,1901793340989.6948,2.9565586671350674
2426_169_1_13,-3.734284410781095,191468339591.77454,2000.0,8.23,349108211968.2932,10.0,4347491315257.3633,7.123564448681945
2426_169_1_14,-3.8157679338680364,191511097997.94812,2000.0,8.23,271797348877.63474,10.0,3384728783930.2153,5.324458811596212
2426_169_1_15,-3.713691860394438,194238454916.2291,2000.0,8.23,382214936115.80505,10.0,4759773784628.211,7.767068888429965
2426_169_1_16,-3.829027076608518,190530795887.81665,2000.0,8.23,310668303595.9288,10.0,3868793988528.9937,6.077016900068495
2426_169_1_17,-3.8283621311613665,186780484202.9634,2000.0,8.23,320679054377.50824,10.0,3993459208624.3467,6.400906491537887
2426_169_1_18,-3.7113740220110465,195258790656.48297,2000.0,8.23,562302553761.1161,10.0,7002429004006.109,11.38007460774098
2426_169_1_19,-3.824356595162111,190357262288.6354,2000.0,8.23,340147789878.9567,10.0,4235905979023.656,6.675230264539959
2426_169_1_20,-3.8423149533781586,191823405362.14508,2000.0,8.23,-13481069099.782656,10.0,-167881558847.4684,-0.2602014373121845
2426_169_1_21,-3.905671855884987,185181073865.8216,2000.0,8.23,496158490831.50397,10.0,6178728130511.783,9.61210253239128
2426_169_1_22,-3.7986275360638464,190506827402.067,2000.0,8.23,444801825908.1413,10.0,5539176704677.148,8.834552424162318
2426_169_1_23,-3.7925970196248477,191131639323.1837,2000.0,8.23,414445493393.5001,10.0,5161145230635.359,8.229371576089576
2426_169_1_24,-3.7724189462763253,188330874836.5258,2000.0,8.23,379430689866.2143,10.0,4725101193223.421,7.723312526105458
2426_169_1_25,-3.793611006650468,190917870443.7575,2000.0,8.23,701150920924.1814,10.0,8731526314481.054,13.930850203090753
2426_169_1_26,-3.7496669104285516,193249794098.90732,2000.0,8.23,637866654076.9891,10.0,7943438864577.164,12.797368398192443
2426_169_1_27,-3.7823863866283856,190139734591.88803,2000.0,8.23,636601849458.2894,10.0,7927688083281.325,12.771254125515586
2426_169_1_28,-3.8292672432863974,190379180685.5269,2000.0,8.23,375786121475.96136,10.0,4679714894988.977,7.355768606894701
2426_169_1_29,-3.777245500051492,192831036611.01074,2000.0,8.23,652429179267.761,10.0,8124787940951.361,12.939157882934706
2426_169_1_30,-3.7939139423312964,192331884490.30936,2000.0,8.23,227880776633.85275,10.0,2837829828591.246,4.493695383093922
2426_169_1_31,-3.795933179934278,192015247740.77158,2000.0,8.23,86941038774.02596,10.0,1082688398758.8931,1.7155364130913306
2426_169_1_32,-3.7499665945552403,198630729459.832,2000.0,8.23,302867304129.2312,10.0,3771647097481.7114,5.9108644485367705
2426_169_1_33,-3.734352515024929,196640535145.67374,2000.0,8.23,403031787558.9096,10.0,5019008823384.96,8.007294448493393
2426_169_1_34,-3.823005612077229,192582838596.3758,2000.0,8.23,383247711617.63837,10.0,4772635076259.01,7.439127542683369
2426_169_1_35,-3.7460136619659536,192013648115.92218,2000.0,8.23,419501794675.2652,10.0,5224112027623.21,8.485961813759987
2426_169_1_36,-3.754066383688072,193725854566.8589,2000.0,8.23,204729277238.7812,10.0,2549521106238.989,4.0883811026455
2426_169_1_37,-3.844991971688553,192128086274.39005,2000.0,8.23,481218855352.34894,10.0,5992682849214.774,9.261049067039092
2426_169_1_38,-3.810213004686942,192087867893.9304,2000.0,8.23,256856306353.29367,10.0,3198665980511.0757,5.030544709036352
2426_169_1_39,-3.7281402842010656,197976488351.09064,2000.0,8.23,340052431064.7876,10.0,4234718462940.6157,6.731229474778644
2426_169_1_40,-3.7047479678512225,197627314285.3,2000.0,8.23,664492596626.2108,10.0,8275015292815.971,13.330942329073643
2426_169_1_41,-3.763261630444999,194181357934.51382,2000.0,8.23,349354552512.8803,10.0,4350559027048.358,6.928362685307747
2426_169_1_42,-3.788626988125802,191009234860.5397,2000.0,8.23,106456249982.17953,10.0,1325713937357.7,2.119369245559756
2426_169_1_43,-3.74733906613151,190203018701.41638,2000.0,8.23,852584454137.7269,10.0,10617348383153.62,17.399345351027396
2426_169_1_44,-3.7840970811704118,193343515940.86832,2000.0,8.23,562306802088.0765,10.0,7002481908990.672,11.084409134872537
2426_169_1_45,-3.8268173608326603,189980390035.61105,2000.0,8.23,162002482224.7336,10.0,2017438606073.613,3.1816260204523292
2426_169_1_46,-3.783879239247926,192531200590.66055,2000.0,8.23,260558868444.9294,10.0,3244774482075.197,5.158466831870564
2426_169_1_47,-3.745402301423279,190145410253.3133,2000.0,8.23,375288811013.7294,10.0,4673521821204.345,7.668514536093212
2426_169_1_48,-3.721624749880149,191352170237.89145,2000.0,8.23,520903658335.2245,10.0,6486883015240.718,10.702722831838681
2426_169_1_49,-3.7041665071443908,196671347651.26202,2000.0,8.23,448596009948.8624,10.0,5586426186642.991,9.046022211297426
2426_169_1_50,-3.8244768748141404,190975197779.7415,2000.0,8.23,149955167675.94467,10.0,1867411784654.1543,2.9330976505149846
2426_169_1_51,-3.6879941342194824,199369364219.19684,2000.0,8.23,216431944565.2721,10.0,2695255989644.9575,4.340117169384067
2426_169_1_52,-3.7717720086897204,191073486075.49445,2000.0,8.23,459061290771.24133,10.0,5716751730205.839,9.213035372739824
2426_169_1_53,-3.844439711779607,191991035952.77875,2000.0,8.23,97393903559.09947,10.0,1212859323746.455,1.8761976140640404
2426_169_1_54,-3.7242101033467305,195571545732.84106,2000.0,8.23,356198691882.6563,10.0,4435790011168.589,7.151516906294444
2426_169_1_55,-3.843679634744148,187221502460.4828,2000.0,8.23,233536246504.75226,10.0,2908258152258.6035,4.615200712946924
2426_169_1_56,-3.7622626537600916,195859221211.07666,2000.0,8.23,382010484962.9812,10.0,4757227727042.556,7.514825456687015
2426_169_1_57,-3.8385971826291985,190111551792.27277,2000.0,8.23,205958387829.8461,10.0,2564827385028.6465,4.018476197308843
2426_169_1_58,-3.7745895321264817,193202427237.06216,2000.0,8.23,204897794838.1304,10.0,2551619678471.1,4.061142987234769
2426_169_1_59,-3.8563012646845927,189699355921.81705,2000.0,8.23,165243268113.1991,10.0,2057796546739.8496,3.2027438663947234
2426_169_1_60,-3.714111613928936,196503773946.0053,2000.0,8.23,479213065375.54987,10.0,5967704478023.792,9.623914478795314
2426_169_1_61,-3.8767315962220956,189241032052.7671,2000.0,8.23,16462139943.319895,10.0,205005233278.88562,0.3166065979238831
2426_169_1_62,-3.833164748704184,191882918811.87158,2000.0,8.23,130275448982.2354,10.0,1622337612307.3303,2.525170594473484
2426_169_1_63,-3.720727123613682,195458797484.77725,2000.0,8.23,467705152834.8392,10.0,5824394902046.171,9.411984214795543
2426_169_1_64,-3.7770054005355327,193439750773.17444,2000.0,8.23,-99804383910.9772,10.0,-1242877358373.3196,-1.9733556152203036
2426_169_1_65,-3.8117141776311643,190054977986.38306,2000.0,8.23,485477412091.5744,10.0,6045715226582.611,9.602627142155379
2426_169_1_66,-3.8052501274731205,194900775700.49783,2000.0,8.23,-53624383315.672134,10.0,-667791626660.7043,-1.037638368356005
2426_169_1_67,-3.7534709994390494,193430274945.2919,2000.0,8.23,399257689378.544,10.0,4972009473327.97,7.987603855078694
2426_169_1_68,-3.7737935742583706,191526555214.27084,2000.0,8.23,258072387218.84192,10.0,3213809998383.9688,5.1618827674441805
2426_169_1_69,-3.7559629967426624,192298935236.80475,2000.0,8.23,289656066436.9535,10.0,3607125785286.986,5.821767534604691
2426_169_1_70,-3.7592388324056163,192141947654.60666,2000.0,8.23,325365210105.67505,10.0,4051816533464.3564,6.534164549238113
2426_169_1_71,-3.7133169509343085,194862116063.7533,2000.0,8.23,402254864201.19635,10.0,5009333692767.906,8.149662672625068
2426_169_1_72,-3.744371427182477,194997701149.35086,2000.0,8.23,444743425771.4246,10.0,5538449439953.829,8.86613444559662
2426_169_1_73,-3.8139625223814613,193572480354.7939,2000.0,8.23,99918651542.66762,10.0,1244300348493.1685,1.9382836443946956
2426_169_1_74,-3.7813881814737793,192095191323.24515,2000.0,8.23,223013281525.93484,10.0,2777214260170.722,4.430660758702376
2426_169_1_75,-3.7882199672907895,194365497325.3078,2000.0,8.23,182635546782.21524,10.0,2274384922131.463,3.5739126097802254
2426_169_1_76,-3.754030215034009,191392074499.75934,2000.0,8.23,364994167640.71405,10.0,4545321248649.723,7.377832583087838
2426_169_1_77,-3.8238312979468136,189458098096.22415,2000.0,8.23,226715607832.2837,10.0,2823319825469.0903,4.471464835659365
2426_169_1_78,-3.7912455453696516,192420767324.17813,2000.0,8.23,230424454524.94687,10.0,2869506590011.4224,4.547791426953167
2426_169_1_79,-3.7259976455649126,192965026735.61328,2000.0,8.23,755871403655.9388,10.0,9412967813956.9,15.367191603989694
2426_169_1_80,-3.7205276666014195,194961656969.98465,2000.0,8.23,602294888077.4264,10.0,7500458898911.072,12.152547702751177
2426_169_1_81,-3.7636817900992936,190770685954.09995,2000.0,8.23,253510036317.64594,10.0,3156994431633.83,5.116399558434621
2426_169_1_82,-3.8555164541937295,189489055549.95078,2000.0,8.23,213055198104.6981,10.0,2653204913766.7856,4.135632142514268
2426_169_1_83,-3.787414545683746,193498565198.73618,2000.0,8.23,91746378146.38983,10.0,1142529933480.8367,1.8041101051266453
2426_169_1_84,-3.7952859190180677,192720458854.17685,2000.0,8.23,317689226519.4528,10.0,3956226481918.4194,6.247775034432028
2426_169_1_85,-3.8416005788578667,190112064578.4228,2000.0,8.23,248130575107.57593,10.0,3090003280782.1074,4.8340589787148405
2426_169_1_86,-3.7257392035263375,193370071945.8123,2000.0,8.23,527496286363.70245,10.0,6568981894946.054,10.7031397738975
2426_169_1_87,-3.697494297653225,196055611409.51816,2000.0,8.23,258440967532.68738,10.0,3218399978391.553,5.245264801401953
2426_169_1_88,-3.7518254878996706,193765219571.4344,2000.0,8.23,322755417935.5049,10.0,4019316442073.004,6.4512076388987865
2426_169_1_89,-3.807612058365036,190028144446.4872,2000.0,8.23,143664957525.8333,10.0,1789078955287.091,2.847867282535196
2426_169_1_90,-3.8079877538164206,190316487477.12436,2000.0,8.23,343420508509.9433,10.0,4276661582408.852,6.796032454724589
2426_169_1_91,-3.7733882326402606,193274062923.27655,2000.0,8.23,316314220724.4383,10.0,3939103350616.0913,6.270877801756313
2426_169_1_92,-3.7451650367557283,192297739212.38336,2000.0,8.23,229101915018.93484,10.0,2853036828432.184,4.629534170402051
2426_169_1_93,-3.7614799788944384,193651168506.62488,2000.0,8.23,358623560297.09607,10.0,4465987222265.35,7.137982592274924
2426_169_1_94,-3.77838933485112,191957582055.1663,2000.0,8.23,376471680974.90094,10.0,4688252259237.523,7.495997118397765
2426_169_1_95,-3.8420630626352854,190188938501.75995,2000.0,8.23,475357255416.91736,10.0,5919687560249.425,9.254996590973745
2426_169_1_96,-3.7753808837354517,193212965667.55176,2000.0,8.23,316208169863.51715,10.0,3937782685042.999,6.264542631278193
2426_169_1_97,-3.819808269559514,188388979148.14145,2000.0,8.23,72595752396.21373,10.0,904044626414.5099,1.4428019985152667
2426_169_1_98,-3.668956471368268,196592739626.8872,2000.0,8.23,379886181046.12836,10.0,4730773485885.021,7.7990009757337315
2426_169_1_99,-3.8202328916333705,192868477627.98062,2000.0,8.23,98876154181.53963,10.0,1231317989246.6487,1.9190644611832455
2426_169_1_100,-3.814404554661049,192196971588.28943,2000.0,8.23,17200232019.629387,10.0,214196792748.4384,0.33597473189973265
2426_169_1_101,-3.743136023846388,194462702031.42587,2000.0,8.23,423414437733.1585,10.0,5272836695593.6045,8.469360282119531
2426_169_2_102,-3.1407633304983658,187451000022.68814,2000.0,8.23,-32398488778.44442,10.0,-403462719474.90814,-0.907293447936476
2426_169_2_103,-3.125212557998132,189577346851.03482,2000.0,8.23,215095706300.31543,10.0,2678615635586.0815,6.00229283592348
2426_169_2_104,-3.1010134162786276,191029507879.8343,2000.0,8.23,610313194111.8705,10.0,7600311937747.601,17.106238547321635
2426_169_2_105,-3.119721986564702,187308527585.40527,2000.0,8.23,267797520084.11978,10.0,3334918380318.4487,7.5841619373935725
2426_169_2_106,-3.0858223604251016,189123779713.63745,2000.0,8.23,97506754934.04768,10.0,1214264677031.4321,2.7814685403834023
2426_169_2_107,-3.0838618321322406,190415741277.72644,2000.0,8.23,61063663947.53419,10.0,760433984617.3828,1.7317665422509194
2426_169_2_108,-3.1506745485187277,188356789739.73938,2000.0,8.23,310076694862.20874,10.0,3861426605741.355,8.599168378496007
2426_169_2_109,-3.0363409610424994,193329274273.58417,2000.0,8.23,520719642447.36346,10.0,6484591440746.28,14.893157767258849
2426_169_2_110,-3.1463426083989425,188493080955.0594,2000.0,8.23,216460632852.62808,10.0,2695613248729.2583,6.011576908604654
2426_169_2_111,-3.070887462059022,192730965664.8968,2000.0,8.23,438554948242.17017,10.0,5461383500538.053,12.367619438146562
2426_169_2_112,-3.1542904443221356,190252551180.1814,2000.0,8.23,271666860975.05905,10.0,3383103800604.8574,7.445489500578419
2426_169_2_113,-3.06536395373707,189320594559.92078,2000.0,8.23,239062336668.51547,10.0,2977075293106.816,6.8820962179348
2426_169_2_114,-3.010408741336613,192159975779.26874,2000.0,8.23,200276277997.28802,10.0,2494067310351.2036,5.837837754683362
2426_169_2_115,-3.1504508014559343,186671121117.94333,2000.0,8.23,-16085973751.716364,10.0,-200320785319.70004,-0.45018102575541885
2426_169_2_116,-3.01921265656845,192763336345.18832,2000.0,8.23,678593624885.4601,10.0,8450617286099.513,19.632151802727996
2426_169_2_117,-3.1937749663851456,186790861574.59158,2000.0,8.23,166610415612.04745,10.0,2074821817627.6587,4.560364816826514
2426_169_2_118,-3.079278957546264,186396869143.74576,2000.0,8.23,349506001001.3216,10.0,4352445035356.485,10.148828000201412
2426_169_2_119,-3.1037207332579677,196417020994.75757,2000.0,8.23,270227226210.03912,10.0,3365175836084.1167,7.356429068160431
2426_169_2_120,-3.039928479324141,194128975133.2803,2000.0,8.23,247168276963.08923,10.0,3078019653120.4805,7.027606139492217
2426_169_2_121,-3.126021445781345,189666231210.57382,2000.0,8.23,165932288666.50867,10.0,2066377011961.96,4.626344161990523
2426_169_2_122,-3.1387008342914404,190802749417.47925,2000.0,8.23,135885298519.20671,10.0,1692197819846.9294,3.742350057007886
2426_169_2_123,-3.1659179769311137,187410586363.2517,2000.0,8.23,198313340844.42325,10.0,2469622591115.408,5.48569631168113
2426_169_2_124,-3.161804000038417,186932059787.0101,2000.0,8.23,184917603479.11102,10.0,2302803679784.6924,5.138751227796085
2426_169_2_125,-3.0872291320912644,188300029965.7222,2000.0,8.23,345570587466.9306,10.0,4303436803592.905,9.893909028322394
2426_169_2_126,-3.130009627449281,192627676780.81476,2000.0,8.23,235719279753.91086,10.0,2935443757656.213,6.458199750255241
2426_169_2_127,-3.1143357328695536,189354329897.7433,2000.0,8.23,337969894464.1965,10.0,4208784355765.8535,9.493482257223317
2426_169_2_128,-3.042999433650608,189676908490.55695,2000.0,8.23,257610851959.31912,10.0,3208062437989.5933,7.4849858164106085
2426_169_2_129,-3.031910787979031,192196711595.95392,2000.0,8.23,430926417135.3986,10.0,5366384381073.42,12.424964400611278
2426_169_2_130,-3.114140833928507,187117775780.8056,2000.0,8.23,460368457754.48505,10.0,5733030055700.396,13.087461167048058
2426_169_2_131,-3.048645775366711,194275066942.16656,2000.0,8.23,9554891180.46519,10.0,118988339435.20735,0.27028974647404486
2426_169_2_132,-3.0719947418829716,191134284761.57196,2000.0,8.23,125721373086.94376,10.0,1565625095313.8848,3.5730968564217473
2426_169_2_133,-3.018672923952619,189897708697.67584,2000.0,8.23,525201980024.338,10.0,6540410590854.724,15.42786573923638
2426_169_2_134,-3.148578475049968,190763141606.5321,2000.0,8.23,134014683559.91881,10.0,1668902801251.2817,3.6734959352714593
2426_169_2_135,-3.0559574451043274,191206220249.83148,2000.0,8.23,657455681471.5298,10.0,8187383646030.312,18.828035995809717
2426_169_2_136,-3.1456164720104978,184917012198.45874,2000.0,8.23,112822904529.74673,10.0,1404998739043.5051,3.195083775283184
2426_169_2_137,-3.1281579067837795,193709303641.01947,2000.0,8.23,308936289023.53986,10.0,3847224979112.3833,8.424686053747173
2426_169_2_138,-2.99235182569109,192173757194.01157,2000.0,8.23,510402482203.2286,10.0,6356110462580.207,15.010908489366766
2426_169_2_139,-3.114744871082512,188180058923.8022,2000.0,8.23,302916772366.02185,10.0,3772263132059.1167,8.560202880875757
2426_169_2_140,-3.0869777985963758,189032810557.45624,2000.0,8.23,518011578513.1771,10.0,6450867557917.348,14.775361968521938
2426_169_2_141,-3.0353742472392673,191965361885.06744,2000.0,8.23,410334803823.8041,10.0,5109954262931.64,11.825101534419415
2426_169_2_142,-2.9745863980361884,191640492055.89633,2000.0,8.23,433235321264.07635,10.0,5395137473389.965,12.890349823765654
2426_169_2_143,-3.060398919555412,189937783574.8795,2000.0,8.23,281179911387.4375,10.0,3501571091351.8794,8.088230160606209
2426_169_2_144,-3.0755445866759468,189606709477.1361,2000.0,8.23,245340908701.3067,10.0,3055263191440.347,7.016544410499467
2426_169_2_145,-3.0971209155698274,193430582366.57288,2000.0,8.23,418723847764.4892,10.0,5214424150562.794,11.61304465034556
2426_169_2_146,-3.0885336130014602,190617288866.7362,2000.0,8.23,176776406775.67218,10.0,2201420266989.989,4.996450579730675
2426_169_2_147,-3.188330080333687,185839972810.8009,2000.0,8.23,259555486311.57562,10.0,3232279229998.353,7.160131122908117
2426_169_2_148,-3.11888879058233,189046560866.583,2000.0,8.23,355454142505.3392,10.0,4426518038064.846,9.978229305839314
2426_169_2_149,-3.028474109489528,188438435402.67218,2000.0,8.23,591913579810.9636,10.0,7371179076832.421,17.43691317458958
2426_169_2_150,-3.0372179790240446,192265586163.16626,2000.0,8.23,657234196203.9768,10.0,8184625460332.772,18.893372518444217
2426_169_2_151,-3.0013468051487395,196575541316.0897,2000.0,8.23,561264507951.893,10.0,6989502080531.6,16.06505428041784
2426_169_2_152,-3.0718913289671663,191751524204.04813,2000.0,8.23,60874916857.13914,10.0,758083491824.1996,1.7246309546694731
2426_169_2_153,-3.1451058672742542,189905920457.28174,2000.0,8.23,421769545228.4631,10.0,5252352628953.13,11.633460372452248
2426_169_2_154,-3.1268082031612154,189785411353.1235,2000.0,8.23,363753429961.56744,10.0,4529870176175.116,10.13144224228468
2426_169_2_155,-3.001595112685239,197699109756.0173,2000.0,8.23,371487760955.75256,10.0,4626186835806.141,10.571344464682847
2426_169_2_156,-3.0690948076935385,191792731435.8409,2000.0,8.23,340268784284.31244,10.0,4237412738556.79,9.651415715204532
2426_169_2_157,-3.04403743749404,196058761863.4618,2000.0,8.23,244193797382.50934,10.0,3040978060569.355,6.8606507166734305
2426_169_2_158,-3.084891236891428,192087361731.06732,2000.0,8.23,392271411359.2098,10.0,4885008417569.969,11.022362902959214
2426_169_2_159,-3.1235261746163037,191160447330.212,2000.0,8.23,268158016316.92435,10.0,3339407688182.2334,7.4272683569188755
2426_169_2_160,-3.11388476842494,191478045622.0008,2000.0,8.23,367000162404.3673,10.0,4570302170078.825,10.19688468743031
2426_169_2_161,-3.1358769935344433,188275129295.77887,2000.0,8.23,576661559205.4637,10.0,7181243621723.278,16.117398640667126
2426_169_2_162,-3.0941075100164834,189240915288.2372,2000.0,8.23,607332288292.1562,10.0,7563190318379.951,17.242736097298057
2426_169_2_163,-3.1692803886720675,190532437374.86102,2000.0,8.23,552508043814.7126,10.0,6880456659989.584,15.007795181292483
2426_169_2_164,-3.027029598773665,193037620022.99002,2000.0,8.23,255635308371.52985,10.0,3183460729131.4634,7.35651104647574
2426_169_2_165,-3.040788366540235,191485825045.5572,2000.0,8.23,193840124386.14456,10.0,2413917027519.559,5.585039371526827
2426_169_2_166,-3.1815024675970105,190291372539.4983,2000.0,8.23,225076404350.03027,10.0,2802906604986.945,6.084381743404416
2426_169_2_167,-3.0595883072260492,192621041516.21533,2000.0,8.23,274245365228.8753,10.0,3415214259383.8633,7.782002251922965
2426_169_2_168,-3.0984800664922383,193361795711.75977,2000.0,8.23,65755628120.26258,10.0,818863642795.3691,1.823106480956831
2426_169_2_169,-3.0800684911318315,192975046142.12457,2000.0,8.23,147211147539.5512,10.0,1833240134423.9807,4.127325918343096
2426_169_2_170,-3.124465089056624,191751406026.8351,2000.0,8.23,-27360521338.502003,10.0,-340724236274.49506,-0.7551256917068827
2426_169_2_171,-3.149963768767631,186497108877.02554,2000.0,8.23,372916093468.1102,10.0,4643974051860.912,10.448675805396912
2426_169_2_172,-3.1120890514272976,189702421268.84232,2000.0,8.23,411823039347.81805,10.0,5128487459212.613,11.559688331906887
2426_169_2_173,-3.0804485070713614,193553596815.15433,2000.0,8.23,252437700264.13144,10.0,3143640487155.1055,7.055049297904323
2426_169_2_174,-3.136778168808883,186626173991.40225,2000.0,8.23,267154405156.38977,10.0,3326909583999.237,7.5294267073701615
2426_169_2_175,-3.0757826470916396,190020279533.07388,2000.0,8.23,226863329825.3996,10.0,2825159427231.8867,6.473213121115966
2426_169_2_176,-3.118833119525197,194533074151.3652,2000.0,8.23,25688354233.957245,10.0,319900515389.5574,0.700799116010393
2426_169_2_177,-3.14789621643979,192009789684.58505,2000.0,8.23,241759675041.67474,10.0,3010665609087.941,6.586119354114205
2426_169_2_178,-3.074053750696762,190650200708.5692,2000.0,8.23,307624635261.1988,10.0,3830890779156.869,8.756147775820793
2426_169_2_179,-3.10182349731298,194767829099.81516,2000.0,8.23,178868336965.2741,10.0,2227471353786.667,4.915224721475023
2426_169_2_180,-3.0744218494525897,189126190495.3147,2000.0,8.23,517740570410.0011,10.0,6447492657715.834,14.852863853323976
2426_169_2_181,-3.081664212123866,189727045296.8296,2000.0,8.23,271332193807.7892,10.0,3378936145553.135,7.731369083282632
2426_169_2_182,-3.096419636878824,189603001155.00308,2000.0,8.23,254238391523.1256,10.0,3166064736547.005,7.195998048735129
2426_169_2_183,-3.1027167682736785,186661686491.688,2000.0,8.23,382236545985.9503,10.0,4760042895235.064,10.954967305444692
2426_169_2_184,-3.0613709784542293,190841218103.9968,2000.0,8.23,283987947373.8879,10.0,3536539939535.6396,8.126400199371098
2426_169_2_185,-3.02654831304527,190701268589.31207,2000.0,8.23,263352011085.7376,10.0,3279557861431.1987,7.673263104161315
2426_169_2_186,-3.092831684056156,192036657527.63904,2000.0,8.23,320615466438.40796,10.0,3992667339503.208,8.975753884433379
