MSAID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
2426_169,-1.571348319769395,233866556500.29105,2000.0,8.23,1330947440484.4983,10.0,16574466713191.771,65.24510567906897
2426_169,-1.6292130609866107,232268660855.32437,2000.0,8.23,1388471116831.5486,10.0,17290816758154.88,66.58740268575491
2426_169,-1.6892874731458807,227896349650.83118,2000.0,8.23,1170605183048.0674,10.0,14577703108739.652,55.53055508221778
2426_169,-1.6456236116455722,228458434897.0415,2000.0,8.23,1356907225870.592,10.0,16897747397068.201,65.6207442909488
2426_169,-1.7333668442839916,231900050468.2926,2000.0,8.23,795462921956.1411,10.0,9906006293337.084,36.27847457503035
2426_169,-1.6520892209237652,226421854669.60208,2000.0,8.23,969625141237.5063,10.0,12074871733375.637,47.16132296522683
2426_169,-1.6233898068234733,228919539878.01083,2000.0,8.23,1199617934082.9844,10.0,14939002782685.682,58.541629215896336
2426_169,-1.6462062414331644,232275761922.71533,2000.0,8.23,1304266932354.096,10.0,16242210772463.25,62.02043828417263
2426_169,-1.695010073342226,219065826974.00555,2000.0,8.23,1443584647775.3184,10.0,17977152939650.86,71.03779176734368
2426_169,-1.747822355420017,229885536658.18216,2000.0,8.23,1282770618248.4802,10.0,15974514294178.47,58.59253850341766
2426_169,-1.6982445579935221,227029555883.98187,2000.0,8.23,1170103047404.2666,10.0,14571449946322.771,55.470785543844
2426_169,-1.6769827889407325,231880206347.15848,2000.0,8.23,1246948364242.4836,10.0,15528414967823.584,58.49298077887265
2426_169,-1.7062941848106852,225387767048.38107,2000.0,8.23,1110773819352.4526,10.0,13832615124185.7,52.82965071241529
2426_169,-1.700726858466279,229293581234.67905,2000.0,8.23,1245257474170.9907,10.0,15507358087323.916,58.37854190797223
2426_169,-1.6553518373341114,227519193204.30328,2000.0,8.23,1195071672775.4578,10.0,14882387581800.182,57.75253536175241
2426_169,-1.7615820166012635,225057872765.81824,2000.0,8.23,1090343198573.1903,10.0,13578189867608.732,50.52419929752814
2426_169,-1.6505717874748578,225402732437.86414,2000.0,8.23,1535065459066.8826,10.0,19116375733524.566,75.05786688379212
2426_169,-1.6395475088501208,230009682203.32123,2000.0,8.23,1026679456997.487,10.0,12785376768092.48,49.46528146444279
2426_169,-1.6798877996576533,230506248786.02438,2000.0,8.23,1063190632834.4178,10.0,13240055330266.514,50.097885513860206
2426_169,-1.6763563898028564,231771596137.44025,2000.0,8.23,1364223427798.068,10.0,16988857039436.799,64.04417982618635
