SID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
2426_169_1,-3.800456019722997,193144170979.69995,2000,8.23,398942280401.43274,10,4968081643097.295,7.8083959646939025
2426_169_2,-3.013942178863926,193144170979.69995,2000,8.23,518624964521.86255,10,6458506136026.482,15.013900655605195
2426_169_3,-3.013942178863926,193144170979.69995,2000,8.23,638307648642.2924,10,7948930628955.672,18.478646960744857
2426_169_4,-3.013942178863926,193144170979.69995,2000,8.23,757990332762.7222,10,9439355121884.861,21.943393265884517
2426_169_5,-3.013942178863926,193144170979.69995,2000,8.23,877673016883.152,10,10929779614814.045,25.40813957102418
2426_169_6,-3.013942178863926,193144170979.69995,2000,8.23,997355701003.5818,10,12420204107743.236,28.872885876163842
2426_169_7,-3.013942178863926,193144170979.69995,2000,8.23,1117038385124.0117,10,13910628600672.426,32.3376321813035
2426_169_8,-3.013942178863926,193144170979.69995,2000,8.23,1236721069244.4414,10,15401053093601.613,35.80237848644316
2426_169_9,-3.013942178863926,193144170979.69995,2000,8.23,1356403753364.8713,10,16891477586530.8,39.267124791582816
2426_169_10,-3.013942178863926,193144170979.69995,2000,8.23,1476086437485.301,10,18381902079459.992,42.73187109672247
2426_169_11,-3.013942178863926,193144170979.69995,2000,8.23,1595769121605.731,10,19872326572389.18,46.19661740186214
2426_169_12,-3.013942178863926,193144170979.69995,2000,8.23,1715451805726.1606,10,21362751065318.363,49.6613637070018
2426_169_13,-3.013942178863926,193144170979.69995,2000,8.23,1835134489846.5906,10,22853175558247.555,53.12611001214145
2426_169_14,-3.013942178863926,193144170979.69995,2000,8.23,1954817173967.0205,10,24343600051176.746,56.59085631728111
2426_169_15,-3.013942178863926,193144170979.69995,2000,8.23,2074499858087.4502,10,25834024544105.93,60.05560262242078
2426_169_16,-3.013942178863926,193144170979.69995,2000,8.23,2194182542207.8801,10,27324449037035.12,63.52034892756045
2426_169_17,-3.013942178863926,193144170979.69995,2000,8.23,2313865226328.31,10,28814873529964.312,66.9850952327001
2426_169_18,-3.013942178863926,193144170979.69995,2000,8.23,2433547910448.7397,10,30305298022893.496,70.44984153783977
2426_169_19,-3.013942178863926,193144170979.69995,2000,8.23,2553230594569.1694,10,31795722515822.688,73.91458784297943
2426_169_20,-3.013942178863926,193144170979.69995,2000,8.23,2672913278689.599,10,33286147008751.87,77.37933414811907
2426_169_21,-3.013942178863926,193144170979.69995,2000,8.23,2792595962810.0293,10,34776571501681.066,80.84408045325875
2426_169_22,-3.013942178863926,193144170979.69995,2000,8.23,2912278646930.459,10,36266995994610.24,84.30882675839842
2426_169_23,-3.013942178863926,193144170979.69995,2000,8.23,3031961331050.8887,10,37757420487539.445,87.77357306353807
2426_169_24,-3.013942178863926,193144170979.69995,2000,8.23,3151644015171.3184,10,39247844980468.625,91.23831936867771
2426_169_25,-3.013942178863926,193144170979.69995,2000,8.23,3271326699291.7485,10,40738269473397.82,94.70306567381739
2426_169_26,-3.013942178863926,193144170979.69995,2000,8.23,3391009383412.178,10,42228693966327.01,98.16781197895703
2426_169_27,-3.013942178863926,193144170979.69995,2000,8.23,3510692067532.608,10,43719118459256.18,101.63255828409672
2426_169_28,-3.013942178863926,193144170979.69995,2000,8.23,3630374751653.038,10,45209542952185.39,105.09730458923637
2426_169_29,-3.013942178863926,193144170979.69995,2000,8.23,3750057435773.468,10,46699967445114.57,108.56205089437603
2426_169_30,-3.013942178863926,193144170979.69995,2000,8.23,3869740119893.8975,10,48190391938043.76,112.02679719951568
2426_169_32,-2.511528888710343,193144170979.69995,2000,8.23,1441075902644.3313,10,17945911200570.39,53.57010644144373
2426_169_33,-2.511528888710343,193144170979.69995,2000,8.23,1585183492908.7644,10,19740502320627.434,58.92711708558811
2426_169_34,-2.511528888710343,193144170979.69995,2000,8.23,1729291083173.1975,10,21535093440684.473,64.28412772973249
2426_169_35,-2.9708948365508965,193144170979.69995,2000,8.23,144107590264.43314,10,1794591120057.0398,4.2621749692813795
