SID,FID,SNR,DETECTION
2426_169_1,2426_169_1_1,2.2628347498101014,True
2426_169_1,2426_169_1_2,2.1616767730137134,True
2426_169_1,2426_169_1_3,2.2334746310769975,True
2426_169_1,2426_169_1_4,0.9578551406509824,True
2426_169_1,2426_169_1_5,1.1685053554769116,True
2426_169_1,2426_169_1_6,0.014046496281309339,True
2426_169_1,2426_169_1_7,1.7516595695353072,True
2426_169_1,2426_169_1_8,0.9505138215151456,True
2426_169_1,2426_169_1_9,2.431054696332953,True
2426_169_1,2426_169_1_10,2.895963357300755,True
2426_169_1,2426_169_1_11,0.24311495435986197,True
2426_169_1,2426_169_1_12,0.5562878028682663,True
2426_169_1,2426_169_1_13,1.2716715005926043,True
2426_169_1,2426_169_1_14,0.9900567521903637,True
2426_169_1,2426_169_1_15,1.3922669954364655,True
2426_169_1,2426_169_1_16,1.1316491972302116,True
2426_169_1,2426_169_1_17,1.1681146427053983,True
2426_169_1,2426_169_1_18,2.04825927266757,True
2426_169_1,2426_169_1_19,1.2390320122802398,True
2426_169_1,2426_169_1_20,-0.04910652566737734,False
2426_169_1,2426_169_1_21,1.8073210280850251,True
2426_169_1,2426_169_1_22,1.620247779992953,True
2426_169_1,2426_169_1_23,1.5096709399245565,True
2426_169_1,2426_169_1_24,1.3821250208714044,True
2426_169_1,2426_169_1_25,2.5540322833612423,True
2426_169_1,2426_169_1_26,2.3235112133132505,True
2426_169_1,2426_169_1_27,2.3189040000416123,True
2426_169_1,2426_169_1_28,1.3688492124115725,True
2426_169_1,2426_169_1_29,2.3765570816913004,True
2426_169_1,2426_169_1_30,0.8300849972686949,True
2426_169_1,2426_169_1_31,0.31669390020217214,True
2426_169_1,2426_169_1_32,1.1032330547338602,True
2426_169_1,2426_169_1_33,1.4680950504770909,True
2426_169_1,2426_169_1_34,1.396029012848737,True
2426_169_1,2426_169_1_35,1.5280891667608094,True
2426_169_1,2426_169_1_36,0.745752687207271,True
2426_169_1,2426_169_1_37,1.752901487046532,True
2426_169_1,2426_169_1_38,0.935632085809063,True
2426_169_1,2426_169_1_39,1.2386846555520048,True
2426_169_1,2426_169_1_40,2.4204996288115845,True
2426_169_1,2426_169_1_41,1.2725688276655645,True
2426_169_1,2426_169_1_42,0.38778056350789875,True
2426_169_1,2426_169_1_43,3.105648377797885,True
2426_169_1,2426_169_1_44,2.0482747477441667,True
